Bird Number,Bird Location,Needs Water,Needs Seeds,Needs Meat,Needs Nests,Needs Heat Lamp,Needs Music
1,Cage 4,False,True,False,False,True,True
2,Cage 7,True,True,False,True,False,True
3,Cage 5,True,True,True,True,False,False
4,Cage 7,True,True,True,True,False,False
5,Cage 1,True,False,True,True,True,False
6,Cage 2,True,True,True,True,False,False
7,Cage 3,True,True,True,False,False,False
8,Cage 4,True,True,True,False,False,False
9,Cage 7,True,True,False,False,False,False
10,Cage 6,True,True,True,True,False,False
11,Cage 4,True,True,True,False,True,False
12,Cage 3,True,False,False,False,False,False
13,Cage 7,True,False,True,True,True,False
14,Cage 2,True,True,True,True,False,False
15,Cage 5,True,True,True,True,False,False
16,Cage 5,True,True,True,True,False,True
17,Cage 5,True,False,False,True,False,False
18,Cage 1,True,True,False,True,False,True
19,Cage 5,True,False,False,False,False,False
20,Cage 5,True,True,False,False,False,False
21,Cage 7,True,True,True,False,False,False
22,Cage 3,True,True,True,False,False,False
23,Cage 3,True,True,True,False,False,False
24,Cage 4,True,False,True,False,True,False
25,Cage 5,False,True,True,False,False,False
26,Cage 4,True,True,True,False,False,False
27,Cage 4,True,False,True,False,True,False
28,Cage 5,True,False,True,False,True,False
29,Cage 6,True,True,True,False,False,False
30,Cage 6,True,True,True,True,False,False
31,Cage 1,True,True,True,False,False,False
32,Cage 4,True,True,True,True,False,False
33,Cage 4,True,True,True,False,True,False
34,Cage 6,True,True,True,False,False,False
35,Cage 2,True,False,False,True,True,True
36,Cage 4,True,True,True,True,True,False
37,Cage 2,True,True,True,False,False,False
38,Cage 2,True,True,True,True,False,False
39,Cage 6,True,True,True,False,False,False
40,Cage 3,True,True,True,False,True,False
41,Cage 3,True,True,True,False,False,False
42,Cage 7,True,False,False,False,False,False
43,Cage 7,True,False,False,False,False,False
44,Cage 7,True,True,False,True,False,False
45,Cage 2,True,True,False,False,False,False
46,Cage 6,True,True,True,False,False,False
47,Cage 2,True,True,True,False,False,False
48,Cage 3,True,False,True,False,True,False
49,Cage 2,True,True,False,True,False,False
50,Cage 1,True,True,True,False,False,False
51,Cage 5,True,True,True,True,True,False
52,Cage 3,True,True,False,False,False,False
53,Cage 6,True,True,True,True,True,False
54,Cage 3,True,True,True,True,False,False
55,Cage 3,True,True,True,True,True,False
56,Cage 3,True,True,False,False,True,False
57,Cage 2,True,True,False,False,True,False
58,Cage 3,True,False,True,True,True,False
59,Cage 4,True,True,True,False,True,False
60,Cage 5,True,True,True,True,False,False
61,Cage 7,False,True,True,True,False,False
62,Cage 6,True,True,False,False,False,False
63,Cage 6,True,True,True,True,False,False
64,Cage 1,True,True,False,True,False,False
65,Cage 7,True,True,False,True,False,False
66,Cage 5,True,False,True,True,False,False
67,Cage 5,True,True,False,False,False,False
68,Cage 5,True,True,False,False,False,False
69,Cage 2,True,True,True,True,True,False
70,Cage 4,True,False,False,False,False,True
71,Cage 3,True,False,True,True,True,False
72,Cage 2,True,False,False,True,False,False
73,Cage 4,True,True,True,False,False,False
74,Cage 6,True,True,True,False,False,False
75,Cage 4,False,True,False,False,False,False
76,Cage 2,True,True,True,False,True,False
77,Cage 4,True,True,True,False,False,False
78,Cage 6,True,True,True,True,False,False
79,Cage 1,True,True,False,False,True,False
80,Cage 2,True,True,True,True,False,False
81,Cage 7,True,True,False,False,True,False
82,Cage 1,True,True,False,False,False,False
83,Cage 6,True,True,False,True,False,True
84,Cage 7,True,True,True,False,False,False
85,Cage 4,True,True,False,True,True,False
86,Cage 3,True,True,True,False,False,False
87,Cage 4,True,True,True,False,False,False
88,Cage 6,True,True,True,False,True,False
89,Cage 7,True,True,True,False,False,False
90,Cage 3,True,True,False,False,False,True
91,Cage 7,True,True,False,True,False,False
92,Cage 4,True,False,True,False,False,False
93,Cage 6,True,True,True,False,False,False
94,Cage 1,True,True,True,True,False,True
95,Cage 6,True,False,True,True,False,False
96,Cage 7,True,True,False,True,False,False
97,Cage 7,True,False,True,True,False,False
98,Cage 5,False,False,True,True,True,False
99,Cage 2,True,True,False,False,True,False
100,Cage 5,True,True,False,True,False,False
